sno,name,fee,city,area,board,type,rank,gender,private
1,Charava Academy,40000,Adilabad,Mavala,CBSE,Secondary School,,co-ed,private
,Jawar Navodaya Vidyalaya,   ,,Sripur,CBSE,Sr. Secondary/Higher Secondary School,,co-ed,private
,St Claret School,   ,,Kaghaznagar,CBSE,Secondary School,,co-ed,private
,Yuva Sangathan School,   ,,Bellampally,CBSE,Secondary School,,co-ed,private
,Carmel Convent School,   ,,Mancherial,CBSE,Secondary School,,co-ed,private
,Kendriya Vidyalaya High School,   ,,Adilabad,CBSE,Secondary School,,co-ed,c-govt
,Nalgada Junior College,   ,,Mavala,TSBIE,Secondary School,,co-ed,private
,Fatima Covent School,   ,,Adilabad,BSE Telangana,Secondary School,,co-ed,private
2,The Hyderabad Public School,"1,43,139",Hyderabad,Ramanthapur,CBSE,Sr.Secondary/Higher Secondary School,AAAAA,Co-ed,Private
,CHIREC international school,"6,43,442",,kondapur,"IB,CAIE,CBSE",Sr.Secondary/Higher Secondary school,AAAAA,Co-ed,Private
,The Aga Khan Academy,"18,05,000",,Hyderabad,"IB,CAIE,CBSE",Sr.Secondary/Higher Secondary school,,Co-ed,Private
,Maitreyi junior collage for Girls,,,Mehidipatnam,TSBIE,Sr.Secondary/Higher Secondary school,,Girls,Private
,Roots Junior Collage,,,Somajiguda,TSBIE,Sr.Secondary/Higher Secondary school,,Co-ed,Private
,Sree vani junior collage,,,new Malkpet,TSBIE,Sr.Secondary/Higher Secondary school,,Co-ed,Private
,Dr KKR Gowtan Concept School, ,,ECIL,"CBSE,Bse telangana", Secondary School,,Co-ed,Private
,Mahatma GandhiMemorial high School,,,Yousuguda,"CBSE,Bse telangana", Secondary School,,Co-ed,Private
,Roots Montessori School,,,Jubilee zHills,"CBSE,Bse telangana", Secondary School,,Co-ed,Private
,Gitanjali school,,,Begumpet,"CISCE,CAIE",Sr.Secondary/Higher Secondary school,,Co-ed,Private
,Mannu Model school,,,Faitma Nagar,CBSE,Sr.Secondary/Higher Secondary school,,Co-ed,govt
3,Kendriya vidyalaya,"12,025",Karimnagar,Alugunoor ,CBSE,Sr.secondary/Higher secondary school,,Co-ed,C-govt
,Alphores High school,,,Kothapally,CBSE,Sr.secondary/Higher secondary school,,Co-ed,private
,Jawar Navodaya vidyalaya,,,Karimnagar,CBSE,Sr.secondary/Higher secondary school,AAAA+,Co-ed,private
,Alphores Junior college,,,Vaialapally,TSBIE,Junior college/Intermediate college,,Co-ed,private
,sree chaitanya junior college,,,Christian colony,TSBIE,Junior college/Intermediate college,,Co-ed,private
,Kencreast International school,,,shiva theatre road,CBSE,secondary school,,Co-ed,private
,Vivekananda Residential school,,,vivekananda puri,CBSE,secondary school,,Co-ed,private
,Paramitha Heritage school,,,padmanagar,CBSE,secondary school,,Co-ed,private
,English union school,,,Karimnagar,CBSE,secondary school,,Co-ed,private
,Manair High school,,,padmanagar,CBSE,secondary school,,Co-ed,private
4,Harvest public school,75000,Khammam,Pakbanda Bazar,CBSE,Sr. Secondary/Higher Secondary School,,co-ed,private
,Kendriya Vidyalaya High School,"12,025",,Khammam,CBSE,Sr. Secondary/Higher Secondary School,,co-ed,C-govt
,New Little Flower High School,   ,,Wyra,CBSE,Sr. Secondary/Higher Secondary School,,co-ed,private
,Atomic Energy Central School,10800,,Manuguru,CBSE,Sr. Secondary/Higher Secondary School,,co-ed,private
,S E S-V V Central Public School,   ,,Sarada Nagar,CBSE,Secondary School,,co-ed,private
,Blooming Minds Central School,   ,,Kaiondaigudem,CBSE,Sr. Secondary/Higher Secondary School,,co-ed,private
,Nirmal Hridai High School,   ,,NST Road,BSE Telangana,Secondary School,,co-ed,private
,Sri Chaitanya International School,   ,,Khammam,CBSE,Secondary School,,co-ed,private
,SVM Vidyanikethan High School,   ,,Khammam,CBSE,Secondary School,,co-ed,private
,Sai Spruthi DAI School,   ,,Khammam,CBSE,Secondary School,,co-ed,private
5,Sanskar Innovative school,,Medchal,Medchal,CBSE,Secondary School,,co-ed,private
,St Andrew school,,,Keesara,CBSE,Secondary School,,co-ed,private
,Tejaswi vidyaranys school,,,Medchal,CBSE,Secondary School,,co-ed,private
,Indus universal school,,,Yapral,CBSE,Secondary Schoo,,co-ed,private
,St Marys central school,,,Thurkapally,CBSE,secondary school,,co-ed,private
,Delhi public school,,,Bachupally,CBSE,secondary school,,co-ed,private
,CRPF public school,,,Hyderabad,CBSE,Sr. Secondary/Higher Secondary School,,co-ed,private
,Sri chaitanya Techno school,,,Gundlapochampally,CBSE,Sr. Secondary/Higher Secondary School,,co-ed,private
,The creek planet school orbit,,,Sri Balaji Nagar,CBSE,secondary school,,co-ed,private
6,Durga Bhavani school,,Nalgonda,Mattampally Road,CBSE,Uppper primary/Middle school,,Co-ed,private
,Little flower ,,,Nalgonda,CBSE,secondary school,,Co-ed,private
,Kendriya vidyalaya,,,Mirayalguda town,CBSE,secondary school,,Co-ed,C-govt
,pragathi junior college,,,Housing  board colony,CBSE,junior college/Intermediate college,,Co-ed,private
,st.Elizabeth convent,,,Bhongir,CBSE,secondary school,,Co-ed,private
,Mount litera zee high school,,,Hayathnagar,CBSE,Sr.secondary/Higher secondary school,,Co-ed,private
,Aurobindo public school,,,Nalgonda,CBSE,secondary school,,Co-ed,private
,HRD school of excellence,,,Devarakonda,CBSE,secondary school,,Co-ed,private
,JAWAR navodaya vidyalaya,,,chalakurthy campus,CBSE,Sr.secondary/Higher secondary school,,Co-ed,private
,Sri vidya peeth,"1,43,500",,Narketpally ,CBSE,Sr.secondary/Higher secondary school,,Co-ed,private
7,Knowledge park international school,"44,450",Nizambad,Arsapally,CBSE,Secondary School,,co-ed,private
,SSR concept school,   ,,Jannepally,CBSE,Sr. Secondary/Higher Secondary School,,co-ed,private
,SSR Discovery Academy,   ,,Madhavanagar,CBSE,Sr. Secondary/Higher Secondary School,,co-ed,private
,Womans Junior college,   ,,Kanteshwar,TSBIE,Junior College/Intermediate College,,co-ed,private
,Navabharathi Global school,   ,,Nizambad,TSBIE,Junior College/Intermediate College,,co-ed,private
8,Ratnapuri vidayalam,38000,Sangareddy,Thurukalakhanapur,CBSE,Sr. Secondary/Higher Secondary School,,co-ed,private
,MNR School of excellence, ,,Fasalwadi,CBSE,Secondary School,,co-ed,private
,Sree swaminaryan Gurukul international school,   ,,Bidar,CBSE,Secondary School,,co-ed,private
,Pioneers international school,   ,,Chintalapalli,CBSE,Secondary School,,co-ed,private
,Kendriya vidyalaya High school,   ,,Yeddumailaram,CBSE,Secondary School,,co-ed,c-govt
,DAV BDL public school,12025,,Bhanoor,CBSE,Secondary School,,co-ed,private
,Academic Heights High school,   ,,Kistareddypet,CBSE,Secondary School,,co-ed,private
9,Army Public School,"65,875",SECUNDERABAD,Bolram,CBSE,Sr.Secondary/Higher Secondary school,AAAA+,Co-ed,Private
,St Andrews High school,"2,41,000",,bownpally,CBSE,Sr.Secondary/Higher Secondary school,AAAA+,Co-ed,Private
,Jain Heritage-A cambridge school,,,Shamirpet,CBSE,Sr.Secondary/Higher Secondary school,AAAA,Co-ed,Private
,St ANN's junior Collage for girls,,,Tarnaka,TSBIE,Junior Collage/Intermediate collage,,Girls,Private
,ISO Junior Collage,,,tarnaka,TSBIE,Junior Collage/Intermediate collage,,Co-ed,Private
,Loyola Academy Junior  Collage,,,Old Alwal,TSBIE,Junior Collage/Intermediate collage,,Co-ed,Private
,Shatiniketan International school,,,Ramakrishnapuram,"CBSIE,IB,CAIE", Secondary School,,Co-ed,Private
,Mamatha High School,,,Viman Nagar ,BSEAP, Secondary School,,Co-ed,Private
,Gowthan Model School,,,West Marredpally,BSE, Secondary School,,Co-ed,Private
,CMR International School,,,New BOWENPALLY,BSE, Secondary School,,Co-ed,Private
,Army Public school,,,rampakrishnapuram,CBSE,Sr.Secondary/Higher Secondary school,,Co-ed,GOVT
,Railway Junior collage,,,Lallaguda,CBse,Sr.Secondary/Higher Secondary school,,Co-ed,GOVT
10,Delhi public school,,Warangal,warangal,CBSE,Sr.secondary/High secondary school,AAAA+,co-ed,private
,Ekashila High school,,,punner,CBSE,secondary school,,co-ed,private
,Greenwood High school,,,Erragattuguttta,CBSE,Sr.secondary/High secondary school,,co-ed,private
,Dhruva Girls Junir college,,,L.B nagar,TSBIE,junior college/Intermediat college,,Girls,private
,sri vedha junior college,,,Hanmakonda,TSBIE,junior college/Intermediat college,,co-ed,private
,skill stock international school,,,Hanmakonda,CBSE,Sr.secondary/High secondary school,,co-ed,private
,sparkrill Navodaya vidyalaya,,,Hasanparthy,CBSE,Sr.secondary/High secondary school,,co-ed,private
,Jawar Navodaya Vidyalaya,,,Mammor,CBSE,Sr.secondary/High secondary school,AAA+,co-ed,private
,Kendriya vidyalaya ,"12,025",,Hanmakonda,CBSE,Sr.secondary/High secondary school,,co-ed,C-Govt
